	30-41	34-43	36-43	40-41	dt
0	0.0660146699266509	1.99021526418787	1.7682824901302502e-15	-0.1174785100286516	01.01.2016 0:00:12
1	0.07579462102689484	1.99021526418787	0.00977198697068433	-0.1085714285714281	01.01.2016 0:10:12
2	0.08068459657701808	1.99021526418787	0.019480519480518346	-0.10344827586206874	01.01.2016 0:20:12
3	0.08823529411764819	1.99021526418787	0.022801302931595616	-0.09770114942528742	01.01.2016 0:30:12
4	0.09090909090909258	1.99021526418787	0.029315960912052942	-0.08933717579250718	01.01.2016 0:40:12
5	0.09900990099009825	1.99021526418787	0.03921568627450758	-0.07826086956521944	01.01.2016 0:50:13
6	0.10344827586206909	1.99021526418787	0.048859934853419815	-0.06976744186046548	01.01.2016 1:00:13
7	0.10891089108910874	1.99021526418787	0.058823529411764504	-0.06086956521738997	01.01.2016 1:10:13
8	0.11604938271604955	1.99021526418787	0.06840390879478685	-0.05232558139534884	01.01.2016 1:20:14
9	0.11822660098522109	1.99021526418787	0.07189542483660058	-0.043478260869564966	01.01.2016 1:30:15
10	0.12592592592592697	1.99021526418787	0.07843137254902019	-0.03746397694524351	01.01.2016 1:40:14
11	0.12807881773399152	1.99021526418787	0.08794788273615697	-0.03188405797101479	01.01.2016 1:50:14
12	0.1386138613861381	1.99021526418787	0.09803921568627372	-0.026086956521739837	01.01.2016 2:00:14
13	0.14356435643564414	1.99021526418787	0.09803921568627372	-0.020408163265305698	01.01.2016 2:10:14
14	0.1449631449631458	1.99021526418787	0.10749185667752552	-0.011627906976743516	01.01.2016 2:20:15
15	0.15061728395061783	1.99021526418787	0.11475409836065646	-0.00291545189504431	01.01.2016 2:30:15
16	0.15061728395061783	1.99021526418787	0.11764705882352919	-1.5261346442595846e-15	01.01.2016 2:40:15
17	0.15970515970515986	1.99021526418787	0.12703583061889273	0.011695906432747809	01.01.2016 2:50:15
18	0.16381418092909633	1.99021526418787	0.13268608414239616	0.02028985507246332	01.01.2016 3:00:15
19	0.16585365853658562	1.99021526418787	0.1363636363636365	0.023255813953488514	01.01.2016 3:10:15
20	0.17156862745098023	1.99021526418787	0.1428571428571429	0.03188405797101479	01.01.2016 3:20:15
21	0.1735941320293391	1.99021526418787	0.14657980456026137	0.03188405797101479	01.01.2016 3:30:16
22	0.17848410757946087	1.99021526418787	0.1558441558441584	0.043478260869564966	01.01.2016 3:40:16
23	0.18048780487804694	1.99021526418787	0.1558441558441584	0.043478260869564966	01.01.2016 3:50:16
24	0.17848410757946087	1.99021526418787	0.159609120521174	0.0465116279069771	01.01.2016 4:00:16
25	0.18826405867970633	1.99021526418787	0.166123778501628	0.049275362318841484	01.01.2016 4:10:16
26	0.18826405867970633	1.99021526418787	0.16883116883116733	0.05813953488372048	01.01.2016 4:20:16
27	0.1951219512195132	1.99021526418787	0.17532467532467513	0.06395348837209372	01.01.2016 4:30:17
28	0.1833740831295841	1.99021526418787	0.16883116883116733	0.05780346820809357	01.01.2016 4:40:17
29	0.1764705882352925	1.99021526418787	0.16504854368932004	0.05507246376811648	01.01.2016 4:50:17
30	0.16097560975609684	1.99021526418787	0.15483870967742028	0.04624277456647429	01.01.2016 5:00:17
31	0.16097560975609684	1.99021526418787	0.15210355987055052	0.04624277456647429	01.01.2016 5:10:17
32	0.158924205378973	1.99021526418787	0.15210355987055052	0.04322766570605157	01.01.2016 5:20:18
33	0.14914425427872913	1.99021526418787	0.14657980456026276	0.04022988505747037	01.01.2016 5:30:17
34	0.14914425427872913	1.99021526418787	0.14657980456026276	0.04022988505747037	01.01.2016 5:40:18
35	0.14705882352941188	1.99021526418787	0.14657980456026276	0.03746397694524489	01.01.2016 5:50:18
36	0.14146341463414677	1.99021526418787	0.14285714285714426	0.03746397694524489	01.01.2016 6:00:18
37	0.13936430317848414	1.99021526418787	0.13915857605178064	0.03746397694524489	01.01.2016 6:10:18
38	0.13658536585365802	1.99021526418787	0.13915857605178064	0.03746397694524489	01.01.2016 6:20:19
39	0.13447432762836092	1.99021526418787	0.14379084967320424	0.03468208092485488	01.01.2016 6:30:19
40	0.13936430317848414	1.99021526418787	0.14657980456026276	0.04069767441860523	01.01.2016 6:40:19
41	0.13658536585365802	1.99021526418787	0.14657980456026276	0.04069767441860523	01.01.2016 6:50:19
42	0.13447432762836092	1.99021526418787	0.14657980456026276	0.04069767441860523	01.01.2016 7:00:19
43	0.1289537712895371	1.99021526418787	0.1363636363636365	0.03468208092485488	01.01.2016 7:10:19
44	0.12469437652811814	1.99021526418787	0.13355048859934815	0.031884057971013326	01.01.2016 7:20:19
45	0.1225490196078434	1.99021526418787	0.1344262295081965	0.031884057971013326	01.01.2016 7:30:19
46	0.11707317073170788	1.99021526418787	0.13071895424836502	0.029069767441860208	01.01.2016 7:40:20
47	0.11707317073170788	1.99021526418787	0.13071895424836502	0.026239067055394246	01.01.2016 7:50:20
48	0.11002444987775094	1.99021526418787	0.12418300653594688	0.026239067055394246	01.01.2016 8:00:20
49	0.10462287104622939	1.99021526418787	0.12131147540983465	0.023255813953488445	01.01.2016 8:10:20
50	0.10243902439024413	1.99021526418787	0.12131147540983465	0.020408163265305635	01.01.2016 8:20:20
51	0.09756097560975542	1.99021526418787	0.11764705882352919	0.017441860465116754	01.01.2016 8:30:20
52	0.09268292682926799	1.99021526418787	0.11111111111111141	0.014492753623189834	01.01.2016 8:40:21
53	0.08780487804878173	1.99021526418787	0.11111111111111141	0.008746355685131485	01.01.2016 8:50:21
54	0.08292682926829285	1.99021526418787	0.10457516339869333	0.005813953488371798	01.01.2016 9:00:21
