	34-33	36-33	40-31	44-23	46-27	50-21	dt
7494	2.07827788649706	0.09812108559498871	0.07471264367816086	2.88845401174168	0.027989821882950666	0.010638297872339868	22.02.2016 2:48:11
7495	2.07827788649706	0.09812108559498871	0.07204610951008587	2.88845401174168	0.022784810126582917	0.002652519893899733	22.02.2016 2:58:11
7496	2.04305283757339	0.09355509355509292	0.06590257879655981	2.88845401174168	0.02525252525252638	0.002652519893899733	22.02.2016 3:08:12
7497	2.04305283757339	0.08977035490605478	0.06590257879655981	2.87084148727984	0.015228426395939463	0.0	22.02.2016 3:18:11
7498	2.04305283757339	0.0833333333333338	0.06051873198847115	2.87084148727984	0.012658227848099885	-0.0026385224274411566	22.02.2016 3:28:12
7499	2.04305283757339	0.0833333333333338	0.05747126436781568	2.87084148727984	0.007594936708859622	-0.005291005291006343	22.02.2016 3:38:11
7500	2.04305283757339	0.07724425887265071	0.05475504322766482	2.87084148727984	0.007594936708859622	-0.010582010582012686	22.02.2016 3:48:11
7501	2.04305283757339	0.07500000000000002	0.04871060171919714	2.87084148727984	0.00505050505050468	-0.010582010582012686	22.02.2016 3:58:11
7502	2.04305283757339	0.07500000000000002	0.04597701149425312	2.87084148727984	0.0025316455696206973	-0.013192612137204483	22.02.2016 4:08:11
7503	2.04305283757339	0.0708333333333334	0.04571428571428611	2.87084148727984	-0.0025316455696194943	-0.01846965699208405	22.02.2016 4:18:11
7504	2.04305283757339	0.06639004149377632	0.03724928366762322	2.87084148727984	-0.007594936708860953	-0.02374670184696502	22.02.2016 4:28:11
7505	2.04305283757339	0.06250000000000068	0.03428571428571514	2.87084148727984	-0.007594936708860953	-0.02645502645502631	22.02.2016 4:38:11
7506	2.04305283757339	0.06029106029106052	0.03151862464183413	2.87084148727984	-0.015228426395938174	-0.029023746701846057	22.02.2016 4:48:11
7507	2.04305283757339	0.058333333333333084	0.02873563218390781	2.87084148727984	-0.015228426395938174	-0.03174603174603138	22.02.2016 4:58:11
7508	2.04305283757339	0.056367432150312605	0.025787965616045027	2.87084148727984	-0.02020202020201898	-0.03448275862068834	22.02.2016 5:08:11
7509	2.04305283757339	0.05000000000000027	0.020057306590257454	2.87084148727984	-0.022784810126581567	-0.03957783641160921	22.02.2016 5:18:11
7510	2.04305283757339	0.04781704781704766	0.01714285714285759	2.87084148727984	-0.022784810126581567	-0.03957783641160921	22.02.2016 5:28:11
7511	2.04305283757339	0.04166666666666647	0.014326647564471271	2.87084148727984	-0.030303030303031074	-0.044854881266491516	22.02.2016 5:38:11
7512	2.04305283757339	0.03950103950103887	0.008595988538682164	2.87084148727984	-0.030303030303031074	-0.04761904761904754	22.02.2016 5:48:11
7513	2.04305283757339	0.03734439834024898	0.005681818181817821	2.87084148727984	-0.03499999999999917	-0.04986876640419991	22.02.2016 5:58:11
7514	2.04305283757339	0.03534303534303596	0.002849002849001926	2.87084148727984	-0.035353535353535914	-0.05263157894736803	22.02.2016 6:08:11
7515	2.04305283757339	0.02916666666666707	-1.4912515666765105e-15	2.87084148727984	-0.0406091370558378	-0.05540897097625345	22.02.2016 6:18:11
