	dt	34-33	44-23	40-31	50-21	36-33	46-27
0	21.01.2016 0:01:03	1.53228962818004	2.23679060665362	0.0	-0.0162162162162166	0.0221327967806844	-0.05500000000000064
1	21.01.2016 0:11:03	1.53228962818004	2.23679060665362	0.0	-0.018867924528301473	0.020161290322580638	-0.060000000000001566
2	21.01.2016 0:21:03	1.53228962818004	2.23679060665362	-0.002739726027397801	-0.021621621621620377	0.018036072144288057	-0.06234413965087356
3	21.01.2016 0:30:03	1.53228962818004	2.23679060665362	-0.0027247956403274568	-0.024258760107814616	0.01999999999999996	-0.06234413965087356
4	21.01.2016 0:41:03	1.53228962818004	2.23679060665362	-0.0054945054945065835	-0.02439024390243832	0.018108651911468304	-0.060000000000001566
5	21.01.2016 0:51:03	1.53228962818004	2.23679060665362	-0.0054945054945065835	-0.027027027027025478	0.01606425702811163	-0.0626566416040108
6	21.01.2016 1:01:03	1.53228962818004	2.23679060665362	-0.0054945054945065835	-0.027027027027025478	0.018108651911468304	-0.0626566416040108
7	21.01.2016 1:11:03	1.53228962818004	2.23679060665362	-0.0054945054945065835	-0.027027027027025478	0.016129032258064602	-0.0626566416040108
8	21.01.2016 1:21:03	1.53228962818004	2.23679060665362	-0.0054945054945065835	-0.02981029810298003	0.014084507042253294	-0.06532663316582905
9	21.01.2016 1:31:03	1.53228962818004	2.23679060665362	-0.0054945054945065835	-0.032432432432431955	0.012048192771084723	-0.06733167082294189
10	21.01.2016 1:41:03	1.53228962818004	2.23679060665362	-0.011049723756906884	-0.02981029810298003	0.014141414141413742	-0.06766917293233003
11	21.01.2016 1:51:03	1.53228962818004	2.23679060665362	-0.011049723756906884	-0.032432432432431955	0.01006036217303813	-0.06999999999999838
12	21.01.2016 2:01:03	1.53228962818004	2.23679060665362	-0.011049723756906884	-0.032608695652173475	0.010141987829614499	-0.07035175879396957
13	21.01.2016 2:11:03	1.53228962818004	2.23679060665362	-0.011049723756906884	-0.032608695652173475	0.010141987829614499	-0.07035175879396957
14	21.01.2016 2:21:03	1.53228962818004	2.23679060665362	-0.0027548209366396654	-0.032608695652173475	0.012145748987854452	-0.06801007556675105
15	21.01.2016 2:31:03	1.53228962818004	2.23679060665362	-0.002739726027397801	-0.035230352303523116	0.01612903225806352	-0.06532663316583044
16	21.01.2016 2:41:03	1.53228962818004	2.23679060665362	0.0	-0.035230352303523116	0.01612903225806352	-0.06500000000000006
17	21.01.2016 2:51:03	1.53228962818004	2.23679060665362	-0.0027247956403260924	-0.035230352303523116	0.016000000000000094	-0.06500000000000006
18	21.01.2016 3:01:03	1.53228962818004	2.23679060665362	-0.0027247956403260924	-0.035230352303523116	0.016000000000000094	-0.06733167082294189
19	21.01.2016 3:11:03	1.53228962818004	2.23679060665362	-0.008219178082191986	-0.035230352303523116	0.012048192771083644	-0.07231920199501143
20	21.01.2016 3:21:03	1.53228962818004	2.23679060665362	-0.008219178082191986	-0.03804347826087021	0.012096774193548696	-0.07035175879396957
21	21.01.2016 3:31:03	1.53228962818004	2.23679060665362	-0.008219178082191986	-0.03804347826087021	0.01006036217303813	-0.0749999999999995
22	21.01.2016 3:41:03	1.53228962818004	2.23679060665362	-0.008219178082191986	-0.03804347826087021	0.01006036217303813	-0.07035175879396957
23	21.01.2016 3:51:03	1.53228962818004	2.23679060665362	-0.008219178082191986	-0.03804347826087021	0.010101010101011007	-0.07035175879396957
24	21.01.2016 4:01:03	1.53228962818004	2.23679060665362	-0.010989010989011746	-0.03804347826087021	0.010101010101011007	-0.0726817042606518
25	21.01.2016 4:11:03	1.53228962818004	2.23679060665362	-0.013774104683195515	-0.03804347826087021	0.008097165991903434	-0.0726817042606518
26	21.01.2016 4:21:03	1.53228962818004	2.23679060665362	-0.011049723756905458	-0.04087193460490437	0.008097165991903434	-0.07035175879396957
27	21.01.2016 4:31:03	1.53228962818004	2.23679060665362	-0.011049723756905458	-0.04087193460490437	0.0101419878296145	-0.07304785894206575
28	21.01.2016 4:41:03	1.53228962818004	2.23679060665362	-0.00831024930747949	-0.04087193460490437	0.00813008130081241	-0.07035175879396957
29	21.01.2016 4:51:03	1.53228962818004	2.23679060665362	-0.008219178082191986	-0.03804347826087021	0.010101010101011007	-0.07035175879396957
30	21.01.2016 5:01:03	1.53228962818004	2.23679060665362	-0.008219178082191986	-0.035230352303523116	0.012096774193548696	-0.06500000000000006
31	21.01.2016 5:11:03	1.53228962818004	2.23679060665362	-0.0054945054945065835	-0.035230352303523116	0.012096774193548696	-0.06500000000000006
32	21.01.2016 5:21:03	1.53228962818004	2.23679060665362	-0.0054945054945065835	-0.035230352303523116	0.01612903225806352	-0.06500000000000006
33	21.01.2016 5:31:03	1.53228962818004	2.23679060665362	-0.0054945054945065835	-0.037837837837838444	0.01612903225806352	-0.06500000000000006
34	21.01.2016 5:41:03	1.53228962818004	2.23679060665362	-0.0027548209366396654	-0.035230352303523116	0.01612903225806352	-0.0626566416040108
35	21.01.2016 5:51:03	1.53228962818004	2.23679060665362	0.0	-0.032608695652173475	0.018181818181816568	-0.06532663316583044
36	21.01.2016 6:01:03	1.53228962818004	2.23679060665362	0.0	-0.035230352303523116	0.01612903225806352	-0.0626566416040108
37	21.01.2016 6:11:02	1.53228962818004	2.23679060665362	0.002754820936639666	-0.032608695652173475	0.02024291497975588	-0.060301507537688745
38	21.01.2016 6:21:03	1.53228962818004	2.23679060665362	0.002754820936639666	-0.035230352303523116	0.02024291497975588	-0.060301507537688745
